0;1;2
C1.01.04.03::mjanaina;4;91.3
C1.01.04.03::mjanaina;5;87.04
C1.01.04.03::mjanaina;6;69.13
C1.01.04.03::mjanaina;7;88.32
C1.01.04.03::mjanaina;8;91.24
C1.01.04.03::mjanaina;9;91.63
C1.01.04.03::mjanaina;10;90.66
C1.01.04.04::debora.viana;1;92.58
C1.01.04.04::debora.viana;2;84.55
C1.01.04.04::debora.viana;3;45.33
C1.01.04.04::debora.viana;4;45.17
C1.01.04.04::debora.viana;5;86.63
C1.01.04.04::debora.viana;6;88.57
C1.01.04.04::debora.viana;7;89.68
C1.01.04.04::debora.viana;8;88.16
C1.01.04.04::debora.viana;9;88.16
C1.01.04.04::debora.viana;10;66.16
C1.03.06.03.01::OP001qheli;1;
C1.03.06.03.01::OP001qheli;2;
C1.03.06.03.01::OP001qheli;3;
C1.03.06.03.01::OP001qheli;4;
C1.03.06.03.01::OP001qheli;5;
C1.03.06.03.01::OP001qheli;6;
C1.03.06.03.01::OP001qheli;7;
C1.03.06.03.01::OP001qheli;8;
C1.03.06.03.01::OP001qheli;9;
C1.03.06.03.01::OP001qheli;10;
C1.03.06.03.01.02::faniribeiro7;1;
C1.03.06.03.01.02::faniribeiro7;2;
C1.03.06.03.01.02::faniribeiro7;3;
C1.03.06.03.01.02::faniribeiro7;4;
C1.03.06.03.01.02::faniribeiro7;5;
C1.03.06.03.01.02::faniribeiro7;6;
C1.03.06.03.01.02::faniribeiro7;7;
C1.03.06.03.01.02::faniribeiro7;8;
C1.03.06.03.01.02::faniribeiro7;9;
C1.03.06.03.01.02::faniribeiro7;10;
C1.03.06.03.01.02::channah;1;
C1.03.06.03.01.02::channah;2;
C1.03.06.03.01.02::channah;3;
C1.03.06.03.01.02::channah;4;
C1.03.06.03.01.02::channah;5;
C1.03.06.03.01.02::channah;6;
C1.03.06.03.01.02::channah;7;
C1.03.06.03.01.02::channah;8;
C1.03.06.03.01.02::channah;9;
C1.03.06.03.01.02::channah;10;
C1.03.06.03.01.02::bwarmeson;1;
C1.03.06.03.01.02::bwarmeson;2;
C1.03.06.03.01.02::bwarmeson;3;
C1.03.06.03.01.02::bwarmeson;4;
C1.03.06.03.01.02::bwarmeson;5;
C1.03.06.03.01.02::bwarmeson;6;
C1.03.06.03.01.02::bwarmeson;7;
C1.03.06.03.01.02::bwarmeson;8;
C1.03.06.03.01.02::bwarmeson;9;
C1.03.06.03.01.02::bwarmeson;10;
C1.03.06.03.01.01::qluciana;1;
C1.03.06.03.01.01::qluciana;2;
C1.03.06.03.01.01::qluciana;3;
C1.03.06.03.01.01::qluciana;4;
C1.03.06.03.01.01::qluciana;5;
C1.03.06.03.01.01::qluciana;6;
C1.03.06.03.01.01::qluciana;7;
C1.03.06.03.01.01::qluciana;8;
C1.03.06.03.01.01::qluciana;9;
C1.03.06.03.01.01::qluciana;10;
C1.03.06.03.01.01::mvinicius;1;
C1.03.06.03.01.01::mvinicius;2;
C1.03.06.03.01.01::mvinicius;3;
C1.03.06.03.01.01::mvinicius;4;
C1.03.06.03.01.01::mvinicius;5;
C1.03.06.03.01.01::mvinicius;6;
C1.03.06.03.01.01::mvinicius;7;
C1.03.06.03.01.01::mvinicius;8;
C1.03.06.03.01.01::mvinicius;9;
C1.03.06.03.01.01::mvinicius;10;
C1.03.10.3::lpatrick;1;
C1.03.10.3::lpatrick;2;
